email,nome,cognome,indirizzo,telefono
porter1@kds.com,Sam,Porter,55 UCA Street,555-0123 
fragile2@brid.com,Fragile,Express,27 Timefall Road,555-0456 
deadman@bbla.com,Deadman,BB Lab,83 Corpse Ave,555-0789 
mama@brid.com,Mama,Bridges,41 Lockdown St,555-1023 
sam@brid.com,Sam,B-Porter,14 Bridge Link,555-1456 
higgs@dema.com,Higgs,Monaghan,66 Beach Road,555-1789 
amelie@brid.com,Amelie,Strand,22 President Ave,555-2023 
heartman@lkc.com,Heartman,Beach,39 Heart Valley,555-2456 
die@hard.com,Die,Hardman,77 Bridges Blvd,555-2789 
cliff@bbla.com,Cliff,Unger,103 Combat Way,555-3023 
lockne@mount.com,Lockne,Mountain,51 Scientist Dr,555-3456 
craftsman@usg.com,Craftsman,Equipment,18 Workshop St,555-3789 
engineer@east.com,Engineer,Bridges,64 Tech Road,555-4023 
doctor@mount.com,Doctor,Mountain,95 Health Ave,555-4456 
elder@central.com,Elder,Porter,32 Veteran St,
